cfg_id,class_name,src,dst
0,org.apache.tools.ant.input.PropertyFileInputHandler,0,1
0,org.apache.tools.ant.input.PropertyFileInputHandler,1,2
0,org.apache.tools.ant.input.PropertyFileInputHandler,2,3
0,org.apache.tools.ant.input.PropertyFileInputHandler,2,25
0,org.apache.tools.ant.input.PropertyFileInputHandler,3,4
0,org.apache.tools.ant.input.PropertyFileInputHandler,4,5
0,org.apache.tools.ant.input.PropertyFileInputHandler,4,8
0,org.apache.tools.ant.input.PropertyFileInputHandler,5,6
0,org.apache.tools.ant.input.PropertyFileInputHandler,6,7
0,org.apache.tools.ant.input.PropertyFileInputHandler,8,9
0,org.apache.tools.ant.input.PropertyFileInputHandler,9,10
0,org.apache.tools.ant.input.PropertyFileInputHandler,10,11
0,org.apache.tools.ant.input.PropertyFileInputHandler,11,12
0,org.apache.tools.ant.input.PropertyFileInputHandler,12,13
0,org.apache.tools.ant.input.PropertyFileInputHandler,13,14
0,org.apache.tools.ant.input.PropertyFileInputHandler,14,15
0,org.apache.tools.ant.input.PropertyFileInputHandler,15,25
0,org.apache.tools.ant.input.PropertyFileInputHandler,16,17
0,org.apache.tools.ant.input.PropertyFileInputHandler,17,18
0,org.apache.tools.ant.input.PropertyFileInputHandler,18,19
0,org.apache.tools.ant.input.PropertyFileInputHandler,19,20
0,org.apache.tools.ant.input.PropertyFileInputHandler,20,21
0,org.apache.tools.ant.input.PropertyFileInputHandler,21,22
0,org.apache.tools.ant.input.PropertyFileInputHandler,22,23
0,org.apache.tools.ant.input.PropertyFileInputHandler,23,24
0,org.apache.tools.ant.input.PropertyFileInputHandler,26,27
0,org.apache.tools.ant.input.PropertyFileInputHandler,27,28
0,org.apache.tools.ant.input.PropertyFileInputHandler,28,29
0,org.apache.tools.ant.input.PropertyFileInputHandler,29,30
0,org.apache.tools.ant.input.PropertyFileInputHandler,30,31
0,org.apache.tools.ant.input.PropertyFileInputHandler,31,32
0,org.apache.tools.ant.input.PropertyFileInputHandler,32,33
0,org.apache.tools.ant.input.PropertyFileInputHandler,32,43
0,org.apache.tools.ant.input.PropertyFileInputHandler,33,34
0,org.apache.tools.ant.input.PropertyFileInputHandler,34,35
0,org.apache.tools.ant.input.PropertyFileInputHandler,35,36
0,org.apache.tools.ant.input.PropertyFileInputHandler,36,37
0,org.apache.tools.ant.input.PropertyFileInputHandler,37,38
0,org.apache.tools.ant.input.PropertyFileInputHandler,38,39
0,org.apache.tools.ant.input.PropertyFileInputHandler,39,40
0,org.apache.tools.ant.input.PropertyFileInputHandler,40,41
0,org.apache.tools.ant.input.PropertyFileInputHandler,41,42
0,org.apache.tools.ant.input.PropertyFileInputHandler,43,44
0,org.apache.tools.ant.input.PropertyFileInputHandler,44,45
0,org.apache.tools.ant.input.PropertyFileInputHandler,45,46
0,org.apache.tools.ant.input.PropertyFileInputHandler,46,47
0,org.apache.tools.ant.input.PropertyFileInputHandler,46,59
0,org.apache.tools.ant.input.PropertyFileInputHandler,47,48
0,org.apache.tools.ant.input.PropertyFileInputHandler,48,49
