cfg_id,class_name,node_id,instruction_type
0,generate_pxi,0,ast.Import
0,generate_pxi,1,ast.Import
0,generate_pxi,2,ast.ImportFrom
0,generate_pxi,3,ast.FunctionDef
0,generate_pxi,4,ast.FunctionDef
0,generate_pxi,5,ast.Expr
0,generate_pxi,6,_ast.Call
1,generate_version,0,ast.Import
1,generate_version,1,ast.Import
1,generate_version,2,ast.Import
1,generate_version,3,ast.Import
1,generate_version,4,ast.Expr
1,generate_version,5,ast.FunctionDef
1,generate_version,6,ast.FunctionDef
1,generate_version,7,ast.Expr
1,generate_version,8,_ast.Call
70,pandas/__init__,0,ast.ImportFrom
70,pandas/__init__,1,ast.Import
70,pandas/__init__,2,ast.Import
70,pandas/__init__,3,ast.Assign
70,pandas/__init__,4,ast.Assign
70,pandas/__init__,5,ast.Assign
70,pandas/__init__,6,ast.For
70,pandas/__init__,7,ast.Expr
70,pandas/__init__,8,ast.Expr
70,pandas/__init__,9,ast.If
70,pandas/__init__,10,_ast.Call
70,pandas/__init__,11,ast.ImportFrom
70,pandas/__init__,12,ast.Assign
70,pandas/__init__,13,ast.ImportFrom
70,pandas/__init__,14,ast.Import
70,pandas/__init__,15,ast.ImportFrom
70,pandas/__init__,16,ast.ImportFrom
70,pandas/__init__,17,ast.ImportFrom
70,pandas/__init__,18,ast.ImportFrom
70,pandas/__init__,19,ast.ImportFrom
70,pandas/__init__,20,ast.ImportFrom
70,pandas/__init__,21,ast.ImportFrom
70,pandas/__init__,22,ast.ImportFrom
70,pandas/__init__,23,ast.ImportFrom
70,pandas/__init__,24,ast.ImportFrom
70,pandas/__init__,25,ast.ImportFrom
70,pandas/__init__,26,ast.ImportFrom
70,pandas/__init__,27,ast.Assign
70,pandas/__init__,28,ast.ImportFrom
70,pandas/__init__,29,ast.Assign
70,pandas/__init__,30,ast.ImportFrom
70,pandas/__init__,31,ast.Assign
70,pandas/__init__,32,ast.Assign
70,pandas/__init__,33,ast.Assign
70,pandas/__init__,34,ast.If
70,pandas/__init__,35,_ast.Call
70,pandas/__init__,36,ast.Expr
70,pandas/__init__,37,ast.Assign
70,pandas/__init__,38,ast.Assign
70,pandas/__init__,39,_ast.Call
71,pandas/_typing,0,ast.ImportFrom
71,pandas/_typing,1,ast.ImportFrom
71,pandas/_typing,2,ast.ImportFrom
71,pandas/_typing,3,ast.ImportFrom
71,pandas/_typing,4,ast.Import
71,pandas/_typing,5,ast.ImportFrom
71,pandas/_typing,6,ast.Import
71,pandas/_typing,7,ast.If
71,pandas/_typing,8,ast.Import
71,pandas/_typing,9,ast.ImportFrom
71,pandas/_typing,10,ast.ImportFrom
71,pandas/_typing,11,ast.ImportFrom
71,pandas/_typing,12,ast.ImportFrom
71,pandas/_typing,13,ast.ImportFrom
71,pandas/_typing,14,ast.ImportFrom
71,pandas/_typing,15,ast.ImportFrom
71,pandas/_typing,16,ast.ImportFrom
71,pandas/_typing,17,ast.ImportFrom
71,pandas/_typing,18,ast.ImportFrom
71,pandas/_typing,19,ast.ImportFrom
71,pandas/_typing,20,ast.ImportFrom
71,pandas/_typing,21,ast.ImportFrom
71,pandas/_typing,22,ast.ImportFrom
71,pandas/_typing,23,ast.ImportFrom
71,pandas/_typing,24,ast.ImportFrom
71,pandas/_typing,25,ast.Assign
71,pandas/_typing,26,ast.Assign
71,pandas/_typing,27,ast.Assign
71,pandas/_typing,28,ast.ImportFrom
71,pandas/_typing,29,ast.If
71,pandas/_typing,30,ast.AnnAssign
71,pandas/_typing,31,ast.AnnAssign
71,pandas/_typing,32,ast.AnnAssign
71,pandas/_typing,33,ast.ImportFrom
71,pandas/_typing,34,ast.ImportFrom
71,pandas/_typing,35,ast.If
71,pandas/_typing,36,ast.ImportFrom
71,pandas/_typing,37,ast.ImportFrom
