cfg_id,class_name,label,num_nodes
0,org.apache.tools.ant.taskdefs.War,1,100
1,org.apache.tools.ant.taskdefs.LoadProperties,0,114
2,org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,0,301
3,org.apache.tools.tar.TarOutputStream,0,243
4,org.apache.tools.ant.types.Parameterizable,0,0
5,org.apache.tools.ant.taskdefs.SignJar,0,294
6,org.apache.tools.ant.BuildLogger,0,0
7,org.apache.tools.ant.taskdefs.ExecuteOn,0,403
8,org.apache.tools.ant.taskdefs.Echo,0,91
9,org.apache.tools.ant.taskdefs.ExecuteStreamHandler,0,0
10,org.apache.tools.ant.taskdefs.Parallel,0,83
11,org.apache.tools.ant.TaskContainer,0,0
12,org.apache.tools.ant.filters.StripLineBreaks,0,62
13,org.apache.tools.ant.types.Environment,0,30
14,org.apache.tools.ant.taskdefs.DependSet,0,329
15,org.apache.tools.ant.types.selectors.ExtendSelector,0,157
16,org.apache.tools.ant.taskdefs.Available,0,492
17,org.apache.tools.ant.types.selectors.FileSelector,0,0
18,org.apache.tools.ant.filters.StripLineComments,0,95
19,org.apache.tools.ant.taskdefs.Sequential,0,30
20,org.apache.tools.ant.util.TaskLogger,0,30
21,org.apache.tools.ant.taskdefs.compilers.Gcj,0,83
22,org.apache.tools.ant.types.selectors.FilenameSelector,0,115
23,org.apache.tools.ant.taskdefs.condition.Http,1,63
24,org.apache.tools.ant.taskdefs.GUnzip,0,90
25,org.apache.tools.ant.taskdefs.FixCRLF,1,691
26,org.apache.tools.ant.types.selectors.SelectorScanner,0,0
27,org.apache.tools.ant.util.KeepAliveOutputStream,0,6
28,org.apache.tools.ant.PathTokenizer,0,112
29,org.apache.tools.ant.taskdefs.Definer,0,273
30,org.apache.tools.ant.input.InputHandler,0,0
31,org.apache.tools.ant.taskdefs.BUnzip2,0,114
32,org.apache.tools.ant.ProjectHelper,0,266
33,org.apache.tools.ant.types.CommandlineJava,0,250
34,org.apache.tools.ant.filters.TailFilter,0,156
35,org.apache.tools.ant.taskdefs.XSLTLoggerAware,0,0
36,org.apache.tools.ant.listener.MailLogger,0,157
37,org.apache.tools.ant.taskdefs.Concat,0,366
38,org.apache.tools.ant.BuildEvent,0,55
39,org.apache.tools.ant.taskdefs.Delete,0,434
40,org.apache.tools.ant.taskdefs.Untar,0,67
41,org.apache.tools.ant.taskdefs.ManifestTask,0,156
42,org.apache.tools.zip.AsiExtraField,0,212
43,org.apache.tools.ant.types.Substitution,0,41
44,org.apache.tools.ant.filters.LineContains,0,96
45,org.apache.tools.ant.taskdefs.MatchingTask,0,220
46,org.apache.tools.ant.taskdefs.Copy,0,547
47,org.apache.tools.ant.types.DTDLocation,0,19
48,org.apache.tools.ant.taskdefs.Typedef,0,9
49,org.apache.tools.ant.types.FlexInteger,0,14
50,org.apache.tools.ant.taskdefs.Sleep,0,80
51,org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,0,102
52,org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler,0,27
53,org.apache.tools.ant.types.Reference,0,36
54,org.apache.tools.ant.taskdefs.Chmod,0,204
55,org.apache.tools.ant.util.StringUtils,0,54
56,org.apache.tools.ant.taskdefs.XmlProperty,1,200
57,org.apache.tools.ant.TaskAdapter,1,134
58,org.apache.tools.ant.filters.PrefixLines,0,86
59,org.apache.tools.ant.taskdefs.compilers.Javac13,0,34
60,org.apache.tools.ant.filters.HeadFilter,0,67
61,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,1,529
62,org.apache.tools.ant.NoBannerLogger,0,41
63,org.apache.tools.mail.MailMessage,0,329
64,org.apache.tools.ant.filters.BaseParamFilterReader,0,15
65,org.apache.tools.ant.taskdefs.XSLTLogger,0,0
66,org.apache.tools.ant.DefaultLogger,0,187
67,org.apache.tools.tar.TarInputStream,0,293
68,org.apache.tools.ant.taskdefs.condition.Condition,0,0
69,org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream,0,10
70,org.apache.tools.ant.taskdefs.condition.Contains,0,46
71,org.apache.tools.ant.helper.ProjectHelperImpl,0,172
72,org.apache.tools.ant.taskdefs.Ear,1,90
73,org.apache.tools.ant.taskdefs.Taskdef,0,9
74,org.apache.tools.ant.filters.TabsToSpaces,0,70
75,org.apache.tools.ant.util.regexp.RegexpMatcher,0,0
76,org.apache.tools.ant.filters.BaseFilterReader,0,94
77,org.apache.tools.zip.ZipOutputStream,0,704
78,org.apache.tools.zip.UnrecognizedExtraField,0,52
79,org.apache.tools.ant.UnknownElement,0,248
80,org.apache.tools.ant.taskdefs.email.Message,1,82
81,org.apache.tools.ant.taskdefs.CVSPass,0,406
82,org.apache.tools.ant.ProjectComponent,0,23
83,org.apache.tools.ant.taskdefs.GZip,0,40
84,org.apache.tools.ant.taskdefs.condition.ConditionBase,0,89
85,org.apache.tools.ant.filters.ReplaceTokens,0,176
86,org.apache.tools.ant.util.RegexpPatternMapper,0,86
87,org.apache.tools.ant.taskdefs.email.EmailTask,1,403
88,org.apache.tools.ant.taskdefs.email.PlainMailer,0,113
89,org.apache.tools.ant.BuildException,0,102
90,org.apache.tools.ant.taskdefs.rmic.WLRmic,0,78
91,org.apache.tools.bzip2.CBZip2OutputStream,0,2256
92,org.apache.tools.ant.util.DateUtils,0,90
93,org.apache.tools.ant.taskdefs.condition.Not,0,23
94,org.apache.tools.ant.types.selectors.SelectorContainer,0,0
95,org.apache.tools.ant.taskdefs.Exit,0,80
96,org.apache.tools.ant.taskdefs.Copyfile,0,87
97,org.apache.tools.ant.taskdefs.RecorderEntry,0,226
98,org.apache.tools.ant.taskdefs.Javac,0,571
99,org.apache.tools.ant.taskdefs.Tar,1,402
100,org.apache.tools.ant.taskdefs.XSLTLiaison,0,0
101,org.apache.tools.ant.taskdefs.email.EmailAddress,0,37
102,org.apache.tools.ant.util.TimeoutObserver,0,0
103,org.apache.tools.ant.taskdefs.rmic.SunRmic,0,89
104,org.apache.tools.ant.types.ZipScanner,0,42
105,org.apache.tools.ant.types.selectors.DepthSelector,0,157
106,org.apache.tools.ant.types.PatternSet,0,388
107,org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,0,119
108,org.apache.tools.ant.taskdefs.Java,1,430
